Question Number,Context,Data,Code
3,, I think this was good to have some kind of specified goal as I believe some teams would not have been able to hold themselves to a specific goal and would have experienced scope creep or have lacked ambition for the final product.,"Motivation, Process"
3,,I do like the idea of having a client and making a product for them.,Requirements
3,," It removes some of the burden of coming up with requirements and picking a project, which can lead to analysis paralysis from too many potential options",Freedom
3,,"I liked this format because all the topics that were offered to us this year are very useful projects, and all of the projects can help a lot on our portfolio.",Process
3,," This format of meeting the client online is fine, but I would like to meet the client in person if possible, so we can ask project questions directly to the client or get to know them.",Communication
3,,Definitely. ,Generic
3,,"Considering the huge amount team, a monthly team meeting with our client would be sufficient and helpful. ",Communication
3,,"There, we can discuss the progress and direction of the project. ",Requirements
3,,"For example, we can use that time to review the proposal, try out the new prototype or discuss infrastructure/deployment methods.",Requirements
3,," Perhaps, the client can provide some advice on the team dynamics or even technical topics. ",Communication
3,,"Now, the question mentions ""coming up with your project"".",Freedom
3,Cont. from 1 above," Indeed, this is what I expect when registering for the course. ",Freedom
3,,We should be allow to explore and have fun with our creativity while bringing out something that is helpful.,"Freedom, Requirements "
3,Cont. from 1 above," Though, it can be a choice for each team.",Freedom
3,,I would edge on the side of more involvement. ,Communication
3,,Being able to have some more regular feedback or point of communication would have been nice. ,Communication
3,,"However, the minimal contact style did reduce stress levels for most I'm sure.","Stress, Communication"
3,,"No, client gives us a direction that is persisted and visionary",Communication
3,,maybe some interaction and get feedback from the actual client or at least more,Communication
3,,"As in the previous response, I would have preferred more regular contact with the client if the group's decisions are going to be deemed wrong in the future, rather than letting us do what we thought was good just to be punished later.",Requirements
3,," I do think that having a client as well as a well-formulated initial project option is a good idea, it helps to give you some experience of what it might be like to have an actual client in the real world. ","Requirements, Process"
3,,"However, it seemed that there was some disparity between what the client seemed to have as requirements vs what the prof/TA had as requirements. ","Requirements, Process, Grading"
3,,"Having such encouraging marks from the prof/TAs at the beginning of the semester just to be thrashed by client feedback later is not fun, very disillusioning, and makes you feel like somehow you're at fault despite following your approved project plan.",Grading
3,," If the client's feedback is truly important (as it seemed to me in this edition of the course), then the client needs to be involved with the initial project proposal grading and feedback.",Requirements
3,,Yes I like it.,Generic
3,, This way we can fully build an app that we want.,Freedom
3,,Having a day/time scheduled to meet within the course calendar once per semester to do a demo and receive feedback. ,Requirements
3,,Having the option to email or schedule another call at the client's convenience would be nice too.,Communication
3,,"I was in option 4 (web-based game), so I found the inclusion of a mock client for the panel was great and found the feedback provided to be very good.","Panel, Requirements "
3,,It would have been nice to meet with the client more to get their feedback,Communication
3,,"Yes, the clients felt very foreign and especially after the first marking process there was a weird disconnect about it.","Grading, Communication"
3,,"I think a little bit more interaction with the client may have been helpful, but not necessarily needed.",Communication
3,,I think the way the client interaction happened in this course was good.,Communication
3,, Not too overbearing which is nice from a developer standpoint. ,Freedom
3,,"However, maybe 1 or 2 more chances for them to see the project instead of just the middle and end. ",Communication
3,,It would be nice to get some feedback either earlier or around the finishing touches.,"Requirements, Communication"
3,,It may be better if we can have more chance to communicate with our client. ,"Requirements, Communication"
3,,We may not only have more detailed requirements but also have more experience about how to do a project in the real world.,"Requirements, Process"
3,,"We definitely had limited interaction with the client, it would have been nice to have been able to have one on one feedback or a meeting with them at some point during the semester.","Requirements, Communication"
3,,No client would have been okay too but I believe the resources and applicable ideas that the client brings are invaluable.,Communication
3,, I like how they served as judges for their own topics rather than large stakeholders. ,Panel
3,,It also helped that it felt like the project meant something to someone.,Motivation
3,,I wouldnt of minded some more client feedback just to understand better what they were looking for but overall it was ok,Requirements
3,,"I would have like to meet with the client more regularly, just to understand their project requirements and see what they are like a bit better as well.",Requirements
28,,"Despite my opinions on this format, it may be difficult to have several groups being able to meet with clients regularly, especially if there aren't many clients. ","Communication, Scale "
28,,"Therefore, I think that this format is better, so long as more specifics are given to what the client needs",Requirements
28,,I believe conducting client panels and peer testing may be difficult with the enrolment doubling. ,"Panel, Scale"
28,,It might also be more difficult for the all groups to meet with the TAs weekly.,Grading
28,,The hackathon format will be more fun for students considering a lot of students take part in hackathons.,"Motivation, Scale"
28,,I think letting student's choose from a project option list would work best for a large class.,"Freedom, Scale"
28,, Student's would also be able to provide support to each other if they are doing the same project which may be helpful with a larger class size.,"Scale, Benefit, Support"
28,, As opposed to student's picking their own unique projects and then having more project specific questions asked that others won't be able to answer.,"Freedom, Support"
28,,It's not that I don't think the format couldn't work but the options would need to be extremely broad or allow for unique submissions. ,Requirements
28,Cont. from 1 above,Because otherwise there will be too many extremely similar apps.,Scale
28,,by dividing student into options and let them come in different day can significantly help,Freedom
28,,"I feel like not having to meet with the clients until the judging allowed for a lot of groups to do the same option without much difficulty, and that should be able to scale up even more. ","Scale, Requirements "
28,,"I am assuming the alternative would be to have the clients meeting weekly with each group like before though, and I think it would be way less scale-able because the clients could only meet with so many groups, and I assume it would be difficult to get enough clients for that big of a class.","Scale, Communication"
28,,"I like the older format when clients are more engaged with students, but for a significantly larger group of student, maybe clients engaging weekly is perhaps not feasible.","Scale, Communication"
28,," Therefore, the hackathon format is good, but needs more client communications (perhaps monthly?).",Communication
28,,The course will be too large for another format to operate in a different fashion in my opinion.,Scale
28,,Hackathon format makes sense since there's a lot of different teams with different options. ,"Freedom, Scale"
28,,Having the judges be less involved with each and every team makes a lot of logistical sense.,Panel
28,,Unless there more clients it is easier for a class format to be made as a hackathon than a job simulation but if it is possible I would suggest it to be less hackathon and more job simulation.,"Process, Scale"
28,,The course description says that we will work on a real life project for a client with supervision.,Process
28,Cont. from 1 above, This implies that we will have professionals also helping us develop skills instead of relying on students to mentor each other. ,Process
28,,Do not like that approach.,Process
28,, It was stressful and a lot of work. ,"Stress, Process"
28,,"And if you do do a hackathon, then it does not make sense that the client can fail you if you fail that portion of the assignment.",Grading
28,,"As the size of class next year is larger, this format would better in order to track the progress and work done by groups.",Scale
28,,I think this format is good because it allows the team to work at their own pace .,Freedom
28,, It also gives a sense of real world companies .,Process
28,,It is also better for the staff when it comes to grading practices.,Grading
28,,"Yes, The Capstone project is also supposed to simulate a real-life project with a team and competing for a project is a big and positive part of Computer Science. ",Process
28,,It does well with larger classes as well,Scale
28,,Any format can work.,Generic
28,, It depends on resources available.,Generic
28,," To me it sounded like based on the resources available, there was no choice but to move to ""hackathon format"" to manage the course in a feasible way.",Process
28,,It does provide an easier method to keep in track of all the projects and parojects on a much larger scale as well and adds a motivating factor for everyone to chase a goal.,"Scale, Motivation"
28,,It will be fine only if there are more TAs and communication with clients. ,"Support, Communication"
28,,"Also, I don't even know if there is another format other than this.",Generic
28,,I think having the teams have less intrusion/micromanagement from the client helps with their productivity.,"Process, Support"
28,," I also think with more students, you will have more teams, leading to more effective competition.","Scale, Motivation"
28,,it worked well for us this year.,Process
28,, i dont see why it should not work for the kids next year.,Generic
28,,"Yes, it would work better since its a large class and analysing would be better and more efficient following the format.",Scale
28,, It would be rather perfect to follow the mentioned format for an efficient result.,Process
28,,The hackathon format will put on more stress for the majority of the people.,Stress
28,, If it's a competition then surely the goals must be well presented at the very beginning.,Requirements
28,,"Yes, I think it will be beneficial because it will afford more freedom to the students regarding project requirements which might lead to some good unique ideas too.","Freedom, Requirements "
28,, It will also be easier to manage with a large number of students.,Scale
28,,The current format went pretty well in terms of letting the team decide what they want to do in the projects. ,Freedom
28,,"However, I think the involvement of clients every 3-4 weeks is necessary.",Communication
28,,1. you would need an equally large number of clients,Process
28,, 2. it would be easier for the teaching staff (TAs and professor) to keep track of what is going on. ,Grading
28,Cont. from 1 above,"rather than need to keep track of eg:30 different teams and their unique projects, would be 30 teams but under eg:5 options","Process, Scale"
28,,"It would leave teams to compete with one another, and features will be based on what other teams are doing, what could get more marks and what might be more challenging from a student's point of view. ","Requirements, Grading"
28,,"I feel to maximize the class's learning and their experience, they should interact more often with the client, so their features and decisions are based on practicality, use and needs, rather than inter-team competition.","Communication, Requirements"
28,,I think the hackathon format has less strict requirements and allows for more freedom within the project which would make it easier on the TAs to mark and keep up with.,"Freedom, Grading"
28,,TAs and Prof will be spread to thin,Grading
28,,I think the approach can be used while doubling everything.,Scale
28,, It might be helpful to limit the number of teams that can choose an option though.,Freedom
28,,"It gives the client a little bit of a break, and allows for a looser structure to allow teams to work on projects themselves rather than relying on coming to class often to report their progress. ",Communication
28,,"Overall, I think it would work out for the betterment of the teams, professor, TAs, and client.",Grading
28,,"I think the hackathon format would work well for a larger class since there will be a lot of students and groups forming, and it would take a longer time for the client to give weekly reports on the projects.","Scale, Communication"
28,,"It seems more manageable this way, especially if the enrollment will double.",Scale
28,prev. form question,The answer is the same as my earlier answer to why I don't like the hackathon format.,Generic
28,, It doesn't matter how many students the class may have.,Scale
28,, The current format doesn't feel like a capstone course; it feels like a generic project from any other CS course.,Process
28,,I think a better way to do things is to assess the actual features delivered and not how busy a student looks,Requirements
28,,I think the hackathon format is not suited for more students since the topics are limited.,"Scale, Freedom"
28,,I think it would get impossibly hard to manage clients for each group with double the enrollment.,Scale
28,,There's too many ideas floating around and I think it'll be harder on the TA's because ideas will go in many directions which may make it difficult for TA's to think about all the different ideas.,"Freedom, Grading"
28,,Its good for large numbers,Scale
28,,I think the mode is pretty clear and efficient for the team work on the project. ,Requirements
28,,"Therefore, the incresed number of student will not be a problem.",Scale
28,,It could work if you add more TAs. ,Support 
28,,"Some days we ran out of time with the weekly check-in, meaning that adding more students might make it so that TAs don't have time to go over everyone and the professor could have a bad time answering everyone's questions.",Support 
28,,I don't know what an alternative format would be but having this many groups felt hard for the TA's to track and be able to keep up helpful communication. ,Support 
28,,"As well, many things easily fell through the cracks and was not addressed until much later on and probably too late. ",Support 
28,,Would probably be better to have two classes with two profs or something like that.,Scale
28,,I think the TAs would have a really rough time on handling a bigger class considering how busy they have been this term. ,Support 
28,,"Also considering how the client worked with us this term aka. not really helping with what we are doing, there would just be way more problems occuring and people will not be able to get any help along the way. ","Communication, Support"
28,,If there were at least double the amount of TAs (would probebly be better with triple) then the TAs would have more leeway in marking and handling questions. ,"Grading, Support, Scale"
28,,"If the client provided more help and or feedback, then people would have less obstacles along the way and could have produced much better of a project at the end. ",Communication
28,,Had we had people to go to to ask about our problems we could've implemented a lot more features rather than spending 4 weeks wondering around on the web trying to find what the problem is.,Support 
28,,It did not work well this year.,Process
28,, I see no reason to belive it will next year. ,Process
28,,"My entire team was dissapointed with the class delivery, as were other students that I spoke with.",Process
28,,"I think it could work if there were proportionally more topics/prompts and perhaps if there were ""expert TAs"", that had more background for a given prompt. ","Scale, Support"
28,,This would probably also require a more random distribution of groups across the different prompts. ,Scale
28,,"Conversely, I can't imagine how a more client-specific approach wouldn't be proportionally much more difficult with more students.",Scale
28,,"At that size, I don't think you really have any other choices.",Scale
28,,"I think that the hackathon format will work with a larger class since it worked well for us, and I don't see how having a larger class will cause it to lose its effectiveness, assuming more TAs are involved.","Scale, Support"
28,,"If the amount of people are doubled, hackathon format would probably work best. ",Scale
28,,It would likely be extremely difficult for clients to review and provide specific directed feedback for every single group.,Communication
28,,"I think based on the number of groups a client could have working on a project, it might be overwhelming to try and have to meet to discuss the all the different projects","Scale, Communication"
28,,I think this format might create serious problems for staff and students with the increased enrolment. ,"Scale, Support"
28,,"In my eyes, the goal of a project like this is to get hands on experience working on something with a team and to get close and personal with someone with experience who is interested in your work and seeing you succeed. ","Process, Support"
28,,I would say the hardest part of this Capstone was recognising that the sheer amount of work required from both the teaching staff was creating a wedge between us and making me feel more isolated from the people I was supposed to be learning from. ,Support 
28,,"Instead of feeling like a guided journey to explore my skills, it felt more like a constant exam were both me and the examiner were very stressed out by the larger system. ",Stress
28,,"Taking all of that in mind, doubling the enrolment is only going to compound those issues for the next generation, making students feel less heard and more like they are being pushed through a grading machine, and making teaching staff feel more and more overworked and automatized. ","Scale, Support, Grading "
28,,All of my suggestions so far in this feedback have been oriented to closing the personal gap between student and teacher. ,Support 
28,,"Therefore, I don't think I can suggest how to make this format better for people in the future without addressing the problem that the institution simple cannot service students and teachers like they should with this amount of students.","Scale, Support"
28,," I do not envy the staff who are in this position, and I hope the Univeristy give them the resources they need going forward.",Support 
28,,"With the class doubling in size I can see it even harder to have ""Clients"" for all the student groups and have an open line of communication with the clients. ","Communication, Scale"
28,,So to keep the clients as a judge instead would be helpful.,Panel
28,," I think the only issue that could come up is the number of teams participating in the different ""topics"", such as the AWS teams being a lot bigger than the other topics.",Freedom
28,,"I think it'll be much better as with larger teams, there is more competition.",Motivation
28,,"since there would be more people, there will be more groups and hopefully better projects.",Motivation
28,,I wish there was a maybe option for the above question because it's hard to say. ,Generic
28,,It will be hard to keep track of so many teams that maybe having pressure from the client would benefit them?,Communication
28,,Because it will allow teams to work on what they want which seems to be more important since they will spend more time on the course.,Freedom
28,,I think that this format would be really useful especially when the class size is doubled because of how seamless the interactions is. ,"Scale, Communication"
28,,The experience for the students (at least in my case) is extremely intuitive and allows us to work freely.,Freedom
28,,because students can have a better and more clear instruction about what they are going to do and what they are expected to have,Requirements
28,,I felt like the hackathon format again provided greater flexibility for students when working on the capstone project as compared to prior terms from what I have heard from students who have taken the capstone in the past.,Freedom
28,,I dont think a larger class of students would affect it.,Scale
28,,"Despite the enrolment increase, they format will work well as long as there is good communication between the team members, and have a clear understanding of what they need to work on and know their client's requirements and expectations.","Requirements, Scale"
28,,"I think if hackathon format still being used for next year, there would be more team hat comes  up with more creative idea for the project and inspires other group to do better than them.","Motivation, Freedom"
28,,I think this method worked well for us and I don't see how I it wouldn't for a larger group.,Scale
28,, It would probably help if they had more project options. ,Freedom
28,,There may also need to be a cap on how many teams can do a single option.,Freedom
28,,It will work well but it will be some extra work for the TA's. ,Support 
28,,Having weekly check in is important and progress tracking is also important.,Communication
28,,"Even though I would prefer having actual clients, it seems like it's just not possible with a class of that size.",Process
28,,"I think it can work, as long as there is ample TA resources allocated to the course.",Support 
28,,"So long as the support doubles, why not?","Support, Scale"
28,,"This year the TA issue for the 1st semester made a huge mess for this course, and different standards between TAs and the professor which confused students for the whole year.","Grading, Support"
28,, The guidelines for weekly reports are not clear enough. ,Requirements
28,,"There are lack of communication to ask guideline questions in class, so if there are double in enrolment next year, it won't be possible for students to ask anything, since this year students rarely receive any answers for the course guidelines/reports/videos question on both Discord and in class.","Requirements, Support, Scale"
28,,"Logistically, the idea of hackathon makes sense. ",Process
28,,"But practically, it does not reflect the real-world scenarios that we are looking to learn. ",Process
28,,"Thus, a no for me.",Process
28,,"Yes, I think trying to get clients more involved with a bigger class would get messy","Scale, Process"
28,,"The larger the class, the harder to manage different product and gives fair comparison","Scale, Support"
28,,harder to manage more ppl. ,Scale
28,,will give them more time to work. ,Freedom
28,,check ins being every other week could help tas have more time in one sitting to go over things,Support 
28,,"While the hackathon format may work fine for a larger class, I would HIGHLY recommend increasing the number of TAs by far more than would be necessary to maintain the same TA:team ratio. ","Scale, Support"
28,,"I noticed that each TA had to handle roughly 3-5 teams, each. ",Support 
28,,While some TAs may be able to handle this (Kevin!) some certainly can not. ,"Support, Scale"
28,,"Personally, I would have really loved to see a dedicated TA per team for the entire year as it would allow for more personalized help, guidance, and feedback for that specific team dynamic and system.",Support 
28,,"As there will be enough TAs, this format should work",Support 
28,,"Keeping the ratio of students and TAs the same it can work, although a larger class side may reduce the quality of the class for students.","Support, Scale"
28,,A hackathon format style would scale great with a larger class since there is less pressure for 1 to 1 contact between the client and each individual team. ,"Scale, Communication"
28,,Overall I found the format worked well,Process
28,,I think this format will continue to work for larger classes as long as there are sufficient TAs to adequately assess all the teams,"Scale, Support"
28,,I think people like working on projects they chose to do versus a boring project you are forced to work on for a very long time.,Freedom
28,,I think the format will work well even with double the students and allow for a wider array of project ideas.,Scale
28,,"With a larger class, I think the hackathon format should work well. ",Scale
28,,"If you went to the format of more client interaction, having 200+ students trying to meet with them seems excessive. ",Process
28,,This format seems a lot easier for managing a larger number of students.,Scale
28,,The clients don't need to spend too much time on communicating with each group.,Communication
28,,"Easier to help students if they are working on the same projects, and it is nice for students to be able to ask other groups for advice.",Support 
28,,I believe this format is good for giving teams the flexibility to choose their project.,Freedom
28,, I believe it might be more effective if they only had 2-3 options to help class cohesion and help the TAs with options that only had a few teams,Support 
28,,"I think that it will be harder to manage so many differing projects, rather having a bunch of projects that are similar and follow a more strict guideline might be the better opton",Process
28,,"As much as I sort of don't like the hackathon format, if does in fact work a bit better for a larger class size.",Scale
28,," If you truly are DOUBLING enrollment into this class next year, the most important class of our undergraduate career's, you simply cannot do it alone then. ",Scale
28,,You will probably need extra support from another instructor or a lot more TA's then you currently have.,Support 
